instance,objective_value,status,solve_time,build_time,load_time,total_time,gap,error,file_path,time_periods,n_thermal_gens,n_renewable_gens,n_must_run,total_startup_categories,total_pwl_points,approx_binary_vars,approx_continuous_vars,approx_total_vars,approx_constraints,peak_demand,avg_demand,total_reserves
2015-04-01_lw.json,57253987.79779907,optimal,418.58744406700134,14.715963363647461,0.04241943359375,433.34582686424255,0.0,,./ferc/2015-04-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,96381,83304.1,197125.2
2015-08-01_lw.json,81660018.40135695,optimal,492.4294102191925,13.894310712814331,0.04430890083312988,506.36802983283997,0.0,,./ferc/2015-08-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,123575,96875.71,234426.21
2020-11-25.json,974505.1350836988,optimal,307.8500597476959,0.7983877658843994,0.002083301544189453,308.6505308151245,0.0,,./rts_gmlc/2020-11-25.json,48,73,81,1,117,292,16128,28416,44544,41263,4435.28,3573.76,5146.22
2015-07-01_lw.json,70803845.78962545,optimal,519.3321490287781,16.151532649993896,0.04307723045349121,535.5267589092255,0.0,,./ferc/2015-07-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,112617,90330.79,239272.6
2015-06-01_hw.json,50582369.61137016,optimal,525.6487390995026,12.497471809387207,0.0450439453125,538.1912548542023,0.0,,./ferc/2015-06-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,101493,84281.0,193493.9
2015-01-01_lw.json,84813041.78627378,optimal,530.4536025524139,13.37482237815857,0.04010915756225586,543.8685340881348,0.0,,./ferc/2015-01-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,102358,92450.0,205542.1
2015-04-01_hw.json,20967534.18062443,optimal,694.8403515815735,14.366376399993896,0.04330635070800781,709.2500343322754,0.0,,./ferc/2015-04-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,96381,83304.1,197125.2
2015-05-01_hw.json,36648812.691922344,optimal,832.8110253810883,15.974061965942383,0.04380631446838379,848.828893661499,0.0,,./ferc/2015-05-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,84123,73517.17,163580.9
2015-06-01_lw.json,61336624.31559346,optimal,849.4167630672455,14.30948257446289,0.04386544227600098,863.7701110839844,0.0,,./ferc/2015-06-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,101493,84281.0,193493.9
2015-10-01_hw.json,13757230.290590247,optimal,864.1715662479401,13.411226034164429,0.04572153091430664,877.6285138130188,0.0,,./ferc/2015-10-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,86443,77715.38,205723.0
2015-12-01_lw.json,76346606.9590505,optimal,1002.8608109951019,19.37619662284851,0.007517814636230469,1022.2445254325867,0.0,,./ferc/2015-12-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,98832,86785.21,219437.01
2015-07-01_hw.json,55087957.22460309,optimal,1137.6985702514648,13.745600461959839,0.03741598129272461,1151.4815866947174,0.0,,./ferc/2015-07-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,112617,90330.79,239272.6
2015-03-01_hw.json,68500072.86059384,optimal,1166.06587266922,11.638934850692749,0.042212724685668945,1177.7470202445984,0.0,,./ferc/2015-03-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,112122,101636.83,207626.7
2015-11-02_lw.json,66732291.4440414,optimal,1247.1791143417358,15.601553440093994,0.04362320899963379,1262.8242909908295,0.0,,./ferc/2015-11-02_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,91111,79278.06,210780.9
2015-10-01_lw.json,61163612.30829004,optimal,1293.8449110984802,16.492541313171387,0.03619956970214844,1310.3736519813538,0.0,,./ferc/2015-10-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,86443,77715.38,205723.0
2015-02-01_lw.json,97264784.45313351,optimal,1322.4412705898285,12.995705842971802,0.04276633262634277,1335.4797427654266,0.0,,./ferc/2015-02-01_lw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,120477,99059.35,216434.3
2015-08-01_hw.json,49796635.227449626,optimal,1419.3993418216705,13.88070034980774,0.04317665100097656,1433.3232188224792,0.0,,./ferc/2015-08-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,123575,96875.71,234426.21
2015-12-01_hw.json,36876758.41091209,optimal,1527.2999064922333,11.528128862380981,0.006375789642333984,1538.8344111442566,0.0,,./ferc/2015-12-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,98832,86785.21,219437.01
2015-11-02_hw.json,49896389.81985026,optimal,1680.3656828403473,15.19240665435791,0.04112100601196289,1695.5992105007172,0.0,,./ferc/2015-11-02_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,91111,79278.06,210780.9
2015-02-01_hw.json,46189426.633319736,optimal,1780.5057883262634,13.587767124176025,0.04603004455566406,1794.1395854949951,0.0,,./ferc/2015-02-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,120477,99059.35,216434.3
2015-09-01_hw.json,92091679.6035447,optimal,2982.4661915302277,14.088269233703613,0.04089498519897461,2996.5953557491302,0.0,,./ferc/2015-09-01_hw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,138995,111523.67,549452.7
2015-09-01_lw.json,115504725.10690963,optimal,2998.5335881710052,15.442264318466187,0.04179501533508301,3014.0176475048065,0.0,,./ferc/2015-09-01_lw.json,48,978,1,136,1229,3011,199824,285408,485232,535374,138995,111523.67,549452.7
2015-01-01_hw.json,41582466.20203027,optimal,6006.53822851181,13.481760263442993,0.04073047637939453,6020.060719251633,0.0,,./ferc/2015-01-01_hw.json,48,934,1,62,1193,3026,191760,279792,471552,512218,102358,92450.0,205542.1
